Candidate_Name,Candidate_Party,State,District,Is_Incumbent?,Is_Winner,Percent_of_Vote_(%),Money_Raised_($),Money_Spent_($)
Kweisi Mfume,Democrat,Maryland,7,Yes,Yes,71.6,1014126,713389
Kimberly Klacik,Republican,Maryland,7,No,No,28.1,8296845,7499454
Amber Ivey,Independent,Maryland,7,No,No,,41924,43394
Jamie Raskin,Democrat,Maryland,8,Yes,Yes,67.3,2072652,1399252
Gregory Coll,Republican,Maryland,8,No,No,32.5,30876,27257
Richard E Neal,Democrat,Massachusetts,1,Yes,Yes,96.5,4949384,5873122
James P McGovern,Democrat,Massachusetts,2,Yes,Yes,65.3,1052549,1089412
Tracy Lovvorn,Republican,Massachusetts,2,No,No,34.6,26311,22319
Lori Trahan,Democrat,Massachusetts,3,Yes,Yes,97.7,1449303,1232437
Jake Auchincloss,Democrat,Massachusetts,4,No,Yes,60.8,2608686,2150904
Julie Hall,Republican,Massachusetts,4,No,No,38.9,131603,129378
Katherine Clark,Democrat,Massachusetts,5,Yes,Yes,74.3,1788706,1514877
Caroline Colarusso,Republican,Massachusetts,5,No,No,25.6,148635,146972
Seth Moulton,Democrat,Massachusetts,6,Yes,Yes,65.4,1289805,1802169
John Paul Moran,Republican,Massachusetts,6,No,No,34.4,300220,299104
Ayanna Pressley,Democrat,Massachusetts,7,Yes,Yes,86.6,2163370,1748432
Stephen Lynch,Democrat,Massachusetts,8,Yes,Yes,80.7,905614,1134662
Bill Keating,Democrat,Massachusetts,9,Yes,Yes,61.3,708680,652448
Helen Brady,Republican,Massachusetts,9,No,No,36.3,28233,23735
John Bergman,Republican,Michigan,1,Yes,Yes,61.6,1868512,1733466
Dana Ferguson,Democrat,Michigan,1,No,No,36.9,346213,339788
Bill Huizenga,Republican,Michigan,2,Yes,Yes,59.2,2175411,1883610
Bryan Berghoef,Democrat,Michigan,2,No,No,38.2,751576,669864
Jean-Michel Creviere,3rd Party,Michigan,2,No,No,0.7,281,1207
Hillary Scholten,Democrat,Michigan,3,No,No,47.0,3793132,3765942
Peter Meijer,Republican,Michigan,3,No,Yes,53.0,2975972,2887774
John Moolenaar,Republican,Michigan,4,Yes,Yes,65.0,1528612,1036160
Jerry Hilliard,Democrat,Michigan,4,No,No,32.4,23117,23603
Dan Kildee,Democrat,Michigan,5,Yes,Yes,54.5,1669951,1504094
Tim Kelly,Republican,Michigan,5,No,No,41.7,71106,71106
Fred Upton,Republican,Michigan,6,Yes,Yes,55.8,3616380,3464617
Jon Hoadley,Democrat,Michigan,6,No,No,40.1,3116491,3098366
Tim Walberg,Republican,Michigan,7,Yes,Yes,58.8,2301635,1586358
Gretchen Driskell,Democrat,Michigan,7,No,No,41.3,1712840,1712840
Elissa Slotkin,Democrat,Michigan,8,Yes,Yes,50.9,8967420,7419974
Paul Junge,Republican,Michigan,8,No,No,47.3,2107608,2097131
Andy Levin,Democrat,Michigan,9,Yes,Yes,57.8,1316607,907237
Lisa McClain,Republican,Michigan,10,No,Yes,66.3,2266287,2137031
Kimberly Bizon,Democrat,Michigan,10,No,No,33.7,41438,41246
Haley Stevens,Democrat,Michigan,11,Yes,Yes,50.2,5776924,5707448
Eric Esshaki,Republican,Michigan,11,No,No,47.8,1298612,1291509
Debbie Dingell,Democrat,Michigan,12,Yes,Yes,66.4,1630498,1689582
Jeff Jones,Republican,Michigan,12,No,No,30.7,10616,9657
Rashida Tlaib,Democrat,Michigan,13,Yes,Yes,77.9,4014411,3690334
Donald Eason,Independent,Michigan,13,No,No,,34156,34156
Jim Hagedorn,Republican,Minnesota,1,Yes,Yes,48.6,2386033,2305994
Daniel Feehan,Democrat,Minnesota,1,No,No,45.5,4861651,4863835
Angie Craig,Democrat,Minnesota,2,Yes,Yes,48.2,5380101,4435492
Tyler Kistner,Republican,Minnesota,2,No,No,45.9,2990054,2956042
Dean Phillips,Democrat,Minnesota,3,Yes,Yes,55.6,2328616,2152031
Kendall Qualls,Republican,Minnesota,3,No,No,44.3,1863927,1751214
Gary Heyer,Independent,Minnesota,3,No,No,,827,827
Betty McCollum,Democrat,Minnesota,4,Yes,Yes,63.2,1171748,994072
Gene Rechtzigel,Republican,Minnesota,4,No,No,29.0,20075,20075
Ilhan Omar,Democrat,Minnesota,5,Yes,Yes,64.3,5718517,5605576
Lacy Johnson,Republican,Minnesota,5,No,No,25.8,12050564,12000896
Chris Kelley,3rd Party,Minnesota,5,No,No,,249583,249583
Ervan Katari Miller,Independent,Minnesota,5,No,No,,255,187
Tom Emmer,Republican,Minnesota,6,Yes,Yes,65.5,2804265,2537612
Tawnja Zahradka,Democrat,Minnesota,6,No,No,34.3,49242,49214
Collin Peterson,Democrat,Minnesota,7,Yes,No,39.9,2714012,2867577
Michelle Fischbach,Republican,Minnesota,7,No,Yes,53.4,2618450,2580501
Pete Stauber,Republican,Minnesota,8,Yes,Yes,56.7,2593190,2608759
Quinn Nystrom,Democrat,Minnesota,8,No,No,37.6,1530606,1527005
Trent Kelly,Republican,Mississippi,1,Yes,Yes,68.7,876882,826673
Antonia Eliason,Democrat,Mississippi,1,No,No,31.3,22281,18174
Bennie G Thompson,Democrat,Mississippi,2,Yes,Yes,66.0,1377392,1096904
Michael Guest,Republican,Mississippi,3,Yes,Yes,64.7,766807,518162
Steven Palazzo,Republican,Mississippi,4,Yes,Yes,100.0,817129,747217
Cori Bush,Democrat,Missouri,1,No,Yes,78.8,1418014,1333512
Ann Wagner,Republican,Missouri,2,Yes,Yes,52.0,5598287,6513101
Jill Schupp,Democrat,Missouri,2,No,No,45.4,4850948,4830434
Blaine Luetkemeyer,Republican,Missouri,3,Yes,Yes,69.4,2022905,2081391
Vicky Hartzler,Republican,Missouri,4,Yes,Yes,67.6,1700978,1335607
Lindsey Simmons,Democrat,Missouri,4,No,No,29.7,395934,384622
Emanuel Cleaver,Democrat,Missouri,5,Yes,Yes,58.5,1393847,928061
Ryan Derks,Republican,Missouri,5,No,No,38.7,76488,76488
Sam Graves,Republican,Missouri,6,Yes,Yes,67.1,1959516,1654756
Gena Ross,Democrat,Missouri,6,No,No,30.8,10170,10530
Billy Long,Republican,Missouri,7,Yes,Yes,68.7,1320420,1518234
Audrey Richards,Independent,Missouri,7,No,No,,7985,8113
Jason Smith,Republican,Missouri,8,Yes,Yes,76.9,1900227,1514786
Kathryn Ellis,Democrat,Missouri,8,No,No,21.4,302428,305387
Kathleen Williams,Democrat,Montana,1,No,No,43.6,6201758,6232286
Matt Rosendale,Republican,Montana,1,No,Yes,56.4,3674706,3488045
Matt Rosendale,Republican,Montana,2,Yes,No,,900359,378226
Kevin Hamm,Democrat,Montana,2,No,No,,19252,17677
Jeff Fortenberry,Republican,Nebraska,1,Yes,Yes,59.5,1472816,2458330
Kate Bolz,Democrat,Nebraska,1,No,No,37.7,1143509,1140371
Don Bacon,Republican,Nebraska,2,Yes,Yes,50.6,3749272,3713961
Kara Eastman,Democrat,Nebraska,2,No,No,46.3,4414390,4468006
Adrian Smith,Republican,Nebraska,3,Yes,Yes,78.5,1506473,1148409
Mark Elworth Jr,Democrat,Nebraska,3,No,No,17.7,255,0
Dina Titus,Democrat,Nevada,1,Yes,Yes,61.8,706193,587919
Mark Amodei,Republican,Nevada,2,Yes,Yes,56.5,1048056,1016673
Patricia Ackerman,Democrat,Nevada,2,No,No,40.7,449363,449449
Susie Lee,Democrat,Nevada,3,Yes,Yes,48.8,4748019,4732009
Dan Rodimer,Republican,Nevada,3,No,No,45.8,2936059,2915216
Steven Horsford,Democrat,Nevada,4,Yes,Yes,50.7,3492372,3024427
Jim Marchant,Republican,Nevada,4,No,No,45.8,1462772,1419405
Jonathan Royce Esteban,Libertarian,Nevada,4,No,No,2.4,2788,1603
Chris Pappas,Democrat,New Hampshire,1,Yes,Yes,51.3,3205731,3105663
Matt Mowers,Republican,New Hampshire,1,No,No,46.2,1707214,1698761
Ann Kuster,Democrat,New Hampshire,2,Yes,Yes,53.9,2960033,2970274
Steve Negron,Republican,New Hampshire,2,No,No,43.7,368177,378959
Don Norcross,Democrat,New Jersey,1,Yes,Yes,62.5,2221989,1087264
Claire Gustafson,Republican,New Jersey,1,No,No,37.5,36520,21761
Jeff Van Drew,Republican,New Jersey,2,Yes,Yes,51.9,4229171,4041493
Amy Kennedy,Democrat,New Jersey,2,No,No,46.2,4984376,4978913
Andy Kim,Democrat,New Jersey,3,Yes,Yes,53.2,7241283,6753262
David Richter,Republican,New Jersey,3,No,No,45.5,1473669,1470648
Chris Smith,Republican,New Jersey,4,Yes,Yes,59.9,1383085,1284522
Stephanie Schmid,Democrat,New Jersey,4,No,No,38.3,699580,658011
Josh Gottheimer,Democrat,New Jersey,5,Yes,Yes,53.2,7694027,3487964
Frank Pallotta,Republican,New Jersey,5,No,No,45.6,1972033,1948705
Louis A. Vellucci,Independent,New Jersey,5,No,No,1.2,5456,5342
Frank Pallone Jr.,Democrat,New Jersey,6,Yes,Yes,61.2,3231755,2021737
Tom Malinowski,Democrat,New Jersey,7,Yes,Yes,50.6,7414403,7423758
Tom Kean,Republican,New Jersey,7,No,No,49.4,3869121,3775442
Albio Sires,Democrat,New Jersey,8,Yes,Yes,74.0,605810,551325
Bill Pascrell Jr.,Democrat,New Jersey,9,Yes,Yes,65.8,1560550,1795410
Billy Prempeh,Republican,New Jersey,9,No,No,31.9,44269,35075
Donald M Payne Jr.,Democrat,New Jersey,10,Yes,Yes,83.3,593735,457252
Mikie Sherrill,Democrat,New Jersey,11,Yes,Yes,53.3,6419707,3733106
Rosemary Becchi,Republican,New Jersey,11,No,No,46.7,1687532,1686236
Bonnie Watson Coleman,Democrat,New Jersey,12,Yes,Yes,65.6,798439,840651
Mark Razzoli,Republican,New Jersey,12,No,No,32.6,3065,1142
Debra Haaland,Democrat,New Mexico,1,Yes,Yes,58.1,2246734,1875766
Michelle Garcia Holmes,Republican,New Mexico,1,No,No,41.9,257294,245590
Xochitl Torres Small,Democrat,New Mexico,2,Yes,No,46.3,8387337,8539065
Yvette Herrell,Republican,New Mexico,2,No,Yes,53.7,2805711,2921785
Steve Jones,Independent,New Mexico,2,No,No,,9405,9505
Teresa Leger Fernandez,Democrat,New Mexico,3,No,Yes,58.7,2296594,2132010
Alexis Johnson,Republican,New Mexico,3,No,No,41.3,147303,147303
Lee Zeldin,Republican,New York,1,Yes,Yes,55.9,8396981,8250116
Nancy Goroff,Democrat,New York,1,No,No,44.1,7866239,7860977
Jackie Gordon,Democrat,New York,2,No,No,46.0,4351881,4334484
Andrew Garbarino,Republican,New York,2,No,Yes,52.9,1743986,1612132
Harry Burger,3rd Party,New York,2,No,No,1.0,2430,594
Tom Suozzi,Democrat,New York,3,Yes,Yes,53.2,2941006,2331302
George Santos,Republican,New York,3,No,No,46.2,658883,591239
Joshua Sauberman,Independent,New York,3,No,No,,127,270
Kathleen Rice,Democrat,New York,4,Yes,Yes,52.0,1106258,1210410
Douglas Tuman,Republican,New York,4,No,No,47.3,134937,130995
Ed Dennehy,Independent,New York,4,No,No,,9031,9031
Gregory Meeks,Democrat,New York,5,Yes,Yes,99.0,2097572,1467454
Amit Lal,Independent,New York,5,No,No,,126,0
Grace Meng,Democrat,New York,6,Yes,Yes,62.6,1292084,1872311
Thomas Zmich,Republican,New York,6,No,No,37.4,133403,131278
Nydia Velazquez,Democrat,New York,7,Yes,Yes,83.0,803217,676248
Hakeem Jeffries,Democrat,New York,8,Yes,Yes,82.5,4168717,3293077
Yvette Clarke,Democrat,New York,9,Yes,Yes,81.5,1200067,1190143
Jerrold Nadler,Democrat,New York,10,Yes,Yes,68.5,1848688,1950774
Cathy Bernstein,Republican,New York,10,No,No,30.1,49975,28384
Jeanne Nigro,Independent,New York,10,No,No,,34548,28039
Michael Madrid,Libertarian,New York,10,No,No,1.2,14326,12149
Max Rose,Democrat,New York,11,Yes,No,42.0,9284434,9499242
Nicole Malliotakis,Republican,New York,11,No,Yes,57.8,3469995,3447052
Kemi Akindude,Independent,New York,11,No,No,,21261,14697
Carolyn Maloney,Democrat,New York,12,Yes,Yes,78.9,3067173,3059202
Adriano Espaillat,Democrat,New York,13,Yes,Yes,86.0,1087237,1252740
Lovelynn Gwinn,Republican,New York,13,No,No,8.0,39384,39384
Alexandria Ocasio-Cortez,Democrat,New York,14,Yes,Yes,68.7,20664795,16735422
John C. Cummings,Republican,New York,14,No,No,30.5,11140937,10947758
Ritchie Torres,Democrat,New York,15,No,Yes,88.2,2194025,1804336
Jamaal Bowman,Democrat,New York,16,No,Yes,82.9,2878898,2801424
Mondaire Jones,Democrat,New York,17,No,Yes,54.1,2984052,2186463
Maureen McArdle Schulman,Republican,New York,17,No,No,39.8,54732,60084
Michael Parietti,3rd Party,New York,17,No,No,0.9,44787,19670
Sean Patrick Maloney,Democrat,New York,18,Yes,Yes,51.8,2556294,1718525
Chele Farley,Republican,New York,18,No,No,47.3,1186211,1152124
Scott Smith,Independent,New York,18,No,No,0.9,8718,8403
Antonio Delgado,Democrat,New York,19,Yes,Yes,51.5,5949475,2963286
Kyle Van De Water,Republican,New York,19,No,No,45.9,153796,120097
Paul Tonko,Democrat,New York,20,Yes,Yes,56.5,1541984,1418994
Elizabeth Joy,Republican,New York,20,No,No,43.4,370852,336845
Elise Stefanik,Republican,New York,21,Yes,Yes,64.4,13287248,11655936
Tedra Cobb,Democrat,New York,21,No,No,35.6,5586793,5593266
Anthony Brindisi,Democrat,New York,22,Yes,No,,6020190,5772429
Claudia Tenney,Republican,New York,22,No,No,,3051777,2725893
Tom Reed,Republican,New York,23,Yes,Yes,57.7,3275177,3145027
Tracy Mitrano,Democrat,New York,23,No,No,41.4,1450322,1466128
John Katko,Republican,New York,24,Yes,Yes,53.1,3821107,3597234
Dana Balter,Democrat,New York,24,No,No,43.0,3212469,3230808
Joseph D Morelle,Democrat,New York,25,Yes,Yes,59.3,1375366,1274426
George Mitris,Republican,New York,25,No,No,39.1,301376,279047
Kevin Wilson,Libertarian,New York,25,No,No,1.5,5128,3417
Brian Higgins,Democrat,New York,26,Yes,Yes,69.8,1124168,984106
G K Butterfield,Democrat,North Carolina,1,Yes,Yes,54.2,1032869,880420
Sandy Smith,Republican,North Carolina,1,No,No,45.8,1458375,1437805
Deborah Ross,Democrat,North Carolina,2,No,Yes,63.0,2268381,1816923
Alan Swain,Republican,North Carolina,2,No,No,34.8,119664,119435
Japheth Matemu,Libertarian,North Carolina,2,No,No,2.2,625,54
Greg Murphy,Republican,North Carolina,3,Yes,Yes,63.4,1767790,1505559
David Price,Democrat,North Carolina,4,Yes,Yes,67.3,1161738,1014872
Virginia Foxx,Republican,North Carolina,5,Yes,Yes,66.9,1858388,1944629
David Wilson Brown,Democrat,North Carolina,5,No,No,31.1,61596,60668
Kathy Manning,Democrat,North Carolina,6,No,Yes,62.3,2002284,1695596
Lee Haywood,Republican,North Carolina,6,No,No,37.7,73878,58342
Jennyfer Bucardo,Independent,North Carolina,6,No,No,,750,759
David Rouzer,Republican,North Carolina,7,Yes,Yes,60.3,1628458,1038883
Christopher Ward,Democrat,North Carolina,7,No,No,39.6,16260,4119
Richard Hudson,Republican,North Carolina,8,Yes,Yes,53.3,4135872,4359009
Patricia Timmons-Goodson,Democrat,North Carolina,8,No,No,46.7,3855743,3852668
Dan Bishop,Republican,North Carolina,9,Yes,Yes,55.6,4090260,4029864
Cynthia Wallace,Democrat,North Carolina,9,No,No,44.4,811609,794300
Patrick McHenry,Republican,North Carolina,10,Yes,Yes,68.9,2780234,2339363
David Parker,Democrat,North Carolina,10,No,No,31.1,30555,30555
Madison Cawthorn,Republican,North Carolina,11,No,Yes,54.5,4478970,4366783
Moe Davis,Democrat,North Carolina,11,No,No,42.3,2251413,2148121
Alma Adams,Democrat,North Carolina,12,Yes,Yes,100.0,824124,651883
Bill Brewster,Republican,North Carolina,12,No,No,,21950,16763
Ted Budd,Republican,North Carolina,13,Yes,Yes,68.2,2294174,1293414
Scott Huffman,Democrat,North Carolina,13,No,No,31.8,193334,189967
Jeff Jackson,Democrat,North Carolina,14,Yes,Yes,,753314,126486
Kelly Armstrong,Republican,North Dakota,1,Yes,Yes,69.0,1269346,1080105
Zach Raknerud,Democrat,North Dakota,1,No,No,27.6,28047,26029
Steve Chabot,Republican,Ohio,1,Yes,Yes,51.8,3177647,2861464
Kate Schroder,Democrat,Ohio,1,No,No,44.7,4040303,4039798
Kevin Kahn,Libertarian,Ohio,1,No,No,3.6,12085,8398
Brad Wenstrup,Republican,Ohio,2,Yes,Yes,61.1,1794354,1757078
Jaime Castle,Democrat,Ohio,2,No,No,38.9,284197,271471
Joyce Beatty,Democrat,Ohio,3,Yes,Yes,70.8,2237887,2540687
Nicholas Moss,Independent,Ohio,3,No,No,0.0,1258,1248
Jim Jordan,Republican,Ohio,4,Yes,Yes,67.9,18313823,12945651
Chris Gibbs,Independent,Ohio,4,No,No,,65807,65807
Bob Latta,Republican,Ohio,5,Yes,Yes,68.0,1580952,1477090
Nick Rubando,Democrat,Ohio,5,No,No,32.0,249319,247423
Bill Johnson,Republican,Ohio,6,Yes,Yes,74.4,1866123,1853361
Shawna Roberts,Democrat,Ohio,6,No,No,25.6,262,574
Bob Gibbs,Republican,Ohio,7,Yes,Yes,67.5,791888,453928
Quentin Potter,Democrat,Ohio,7,No,No,29.2,12976,12976
Brandon Lape,Libertarian,Ohio,7,No,No,3.3,3348,2713
Warren Davidson,Republican,Ohio,8,Yes,Yes,69.0,1016740,841533
Vanessa Enoch,Democrat,Ohio,8,No,No,31.0,40270,37546
Marcy Kaptur,Democrat,Ohio,9,Yes,Yes,63.1,1090395,979798
Rob Weber,Republican,Ohio,9,No,No,36.9,134898,123262
Michael R Turner,Republican,Ohio,10,Yes,Yes,58.4,1752255,1736283
Desiree Tims,Democrat,Ohio,10,No,No,41.6,2040760,2024010
Marcia Fudge,Democrat,Ohio,11,Yes,Yes,80.1,755787,499820
Laverne Gore,Republican,Ohio,11,No,No,20.0,157044,156827
Troy Balderson,Republican,Ohio,12,Yes,Yes,55.2,2016826,1995665
Alaina Shearer,Democrat,Ohio,12,No,No,41.8,1033711,1025410
John Stewart,Libertarian,Ohio,12,No,No,3.0,75170,66382
Tim Ryan,Democrat,Ohio,13,Yes,Yes,52.5,1972446,2071454
Christina Hagan,Republican,Ohio,13,No,No,44.9,861723,820660
David P Joyce,Republican,Ohio,14,Yes,Yes,60.1,2917696,2501449
Hillary O'Connor Mueri,Democrat,Ohio,14,No,No,39.9,579877,574646
Steve Stivers,Republican,Ohio,15,Yes,Yes,63.4,3004799,2293101
Joel Newby,Democrat,Ohio,15,No,No,36.6,55797,55797
Kevin Hern,Republican,Oklahoma,1,Yes,Yes,63.7,1094104,830366
Kojo Asamoa-Caesar,Democrat,Oklahoma,1,No,No,32.7,157355,173928
Markwayne Mullin,Republican,Oklahoma,2,Yes,Yes,75.0,1660206,1077939
Danyell Lanier,Democrat,Oklahoma,2,No,No,22.0,41730,41722
Frank D Lucas,Republican,Oklahoma,3,Yes,Yes,78.5,872749,1036145
Tom Cole,Republican,Oklahoma,4,Yes,Yes,67.8,1812530,1753697
Mary Brannon,Democrat,Oklahoma,4,No,No,28.8,-2084,1599
Kendra Horn,Democrat,Oklahoma,5,Yes,No,47.9,5949800,5946195
Stephanie Bice,Republican,Oklahoma,5,No,Yes,52.1,3720520,3508929
Suzanne Bonamici,Democrat,Oregon,1,Yes,Yes,64.6,959223,864627
Chris Christensen,Republican,Oregon,1,No,No,35.2,144,672
Cliff Bentz,Republican,Oregon,2,No,Yes,60.0,1450780,1361727
Alex Spenser,Democrat,Oregon,2,No,No,36.9,20640,5089
Earl Blumenauer,Democrat,Oregon,3,Yes,Yes,73.0,1813365,1948453
Joanna Harbour,Republican,Oregon,3,No,No,23.5,17681,14502
Peter DeFazio,Democrat,Oregon,4,Yes,Yes,51.6,5182843,5781074
Alek Skarlatos,Republican,Oregon,4,No,No,46.2,5454621,5331264
Kurt Schrader,Democrat,Oregon,5,Yes,Yes,51.9,2018692,1922073
Amy Ryan Courser,Republican,Oregon,5,No,No,45.2,231624,221041
Andrea Salinas,Democrat,Oregon,6,Yes,Yes,,629276,147520
Brian Fitzpatrick,Republican,Pennsylvania,1,Yes,Yes,58.7,4203825,4272135
Christina Finello,Democrat,Pennsylvania,1,No,No,41.3,2336814,2329748
Brendan Boyle,Democrat,Pennsylvania,2,Yes,Yes,65.1,1556650,756317
Dwight Evans,Democrat,Pennsylvania,3,Yes,Yes,87.5,942386,781265
Madeleine Dean,Democrat,Pennsylvania,4,Yes,Yes,56.0,1435995,1005928
Kathy Barnette,Republican,Pennsylvania,4,No,No,44.0,1000389,884640
Joe Tarshish,Independent,Pennsylvania,4,No,No,,24038,23738
Mary Gay Scanlon,Democrat,Pennsylvania,5,Yes,Yes,60.3,1455042,1350276
Dasha Pruett,Republican,Pennsylvania,5,No,No,39.7,105146,82437
Chrissy Houlahan,Democrat,Pennsylvania,6,Yes,Yes,54.7,3484484,1327283
John Emmons,Republican,Pennsylvania,6,No,No,45.3,608859,601390
John McHugh,Independent,Pennsylvania,6,No,No,,6165,4410
Susan Wild,Democrat,Pennsylvania,7,Yes,Yes,51.7,4581056,4528267
Matt Cartwright,Democrat,Pennsylvania,8,Yes,Yes,51.7,3885136,4144070
Jim Bognet,Republican,Pennsylvania,8,No,No,48.3,1519527,1386040
Dan Meuser,Republican,Pennsylvania,9,Yes,Yes,68.2,1071961,944010
Gary Wegman,Democrat,Pennsylvania,9,No,No,31.8,188787,187348
Scott Perry,Republican,Pennsylvania,10,Yes,Yes,53.4,3956481,3839197
Eugene DePasquale,Democrat,Pennsylvania,10,No,No,46.6,4534580,4526684
Lloyd Smucker,Republican,Pennsylvania,11,Yes,Yes,69.2,1349318,662704
Sarah Hammond,Democrat,Pennsylvania,11,No,No,30.8,28733,23458
Fred Keller,Republican,Pennsylvania,12,Yes,Yes,71.8,1541938,1066158
Lee Griffin,Democrat,Pennsylvania,12,No,No,28.2,45850,44571
Liz Terwilliger,Libertarian,Pennsylvania,12,No,No,,6211,5937
John Joyce,Republican,Pennsylvania,13,Yes,Yes,79.0,1119769,461229
Todd Rowley,Democrat,Pennsylvania,13,No,No,21.0,60348,67527
Guy Reschenthaler,Republican,Pennsylvania,14,Yes,Yes,67.8,2250282,1580488
Bill Marx,Democrat,Pennsylvania,14,No,No,32.2,60403,45959
Glenn Thompson,Republican,Pennsylvania,15,Yes,Yes,76.3,1700061,1839073
Mike Kelly,Republican,Pennsylvania,16,Yes,Yes,67.2,2239488,1319340
Kristy Gnibus,Democrat,Pennsylvania,16,No,No,32.8,584205,579453
Conor Lamb,Democrat,Pennsylvania,17,Yes,Yes,51.1,4063114,3448850
Sean Parnell,Republican,Pennsylvania,17,No,No,48.9,3935774,3732399
David Cicilline,Democrat,Rhode Island,1,Yes,Yes,70.8,1574854,1743173
Jim Langevin,Democrat,Rhode Island,2,Yes,Yes,58.2,1102312,1422339
Bob Lancia,Republican,Rhode Island,2,No,No,41.5,55549,47877
Joe Cunningham,Democrat,South Carolina,1,Yes,No,49.3,6941746,6993962
Nancy Mace,Republican,South Carolina,1,No,Yes,50.6,5766726,5707239
Joe Wilson,Republican,South Carolina,2,Yes,Yes,55.7,1648065,1723956
Adair Boroughs,Democrat,South Carolina,2,No,No,42.6,2510526,2507664
Jeff Duncan,Republican,South Carolina,3,Yes,Yes,71.2,1509647,1271872
Hosea Cleveland,Democrat,South Carolina,3,No,No,28.7,43214,45107
William Timmons,Republican,South Carolina,4,Yes,Yes,61.6,977784,982233
Kim Nelson,Democrat,South Carolina,4,No,No,36.9,167825,167508
Ralph Norman,Republican,South Carolina,5,Yes,Yes,60.1,991246,859747
Moe Brown,Democrat,South Carolina,5,No,No,39.9,480648,477295
James E Clyburn,Democrat,South Carolina,6,Yes,Yes,68.2,3406945,2332128
Tom Rice,Republican,South Carolina,7,Yes,Yes,61.8,1405738,1242208
Melissa Watson,Democrat,South Carolina,7,No,No,38.1,147623,147623
Larry Guy Hammond,Libertarian,South Carolina,7,No,No,,199,199
Dusty Johnson,Republican,South Dakota,1,Yes,Yes,81.8,1693504,699356
Diana Harshbarger,Republican,Tennessee,1,No,Yes,74.8,2126946,1869100
Blair Nicole Walsingham,Democrat,Tennessee,1,No,No,22.4,140209,134995
Tim Burchett,Republican,Tennessee,2,Yes,Yes,67.7,1336276,878488
Renee Hoyos,Democrat,Tennessee,2,No,No,31.0,812784,816793
Chuck Fleischmann,Republican,Tennessee,3,Yes,Yes,67.3,1051653,381411
Meg Gorman,Democrat,Tennessee,3,No,No,30.5,85843,77760
Scott Desjarlais,Republican,Tennessee,4,Yes,Yes,66.7,331464,392499
Christopher Hale,Democrat,Tennessee,4,No,No,33.3,308731,302996
Jim Cooper,Democrat,Tennessee,5,Yes,Yes,100.0,936569,1332131
John Rose,Republican,Tennessee,6,Yes,Yes,73.7,1050429,625688
Mark Green,Republican,Tennessee,7,Yes,Yes,69.9,1194960,935487
Kiran Sreepada,Democrat,Tennessee,7,No,No,27.3,206644,207191
Ronald Brown,Independent,Tennessee,7,No,No,2.2,1750,0
Scott Vieira Jr,Independent,Tennessee,7,No,No,0.6,655,1049
David Kustoff,Republican,Tennessee,8,Yes,Yes,68.5,1641217,999285
Erika Stotts Pearson,Democrat,Tennessee,8,No,No,29.5,19070,15883
Steve Cohen,Democrat,Tennessee,9,Yes,Yes,77.4,607570,457311
Charlotte Bergmann,Republican,Tennessee,9,No,No,20.1,99147,100532
Dennis Clark,Independent,Tennessee,9,No,No,1.6,9991,9919
Louie Gohmert,Republican,Texas,1,Yes,Yes,72.6,552915,580441
Hank Gilbert,Democrat,Texas,1,No,No,27.4,968155,734411
Dan Crenshaw,Republican,Texas,2,Yes,Yes,55.6,19427865,17596329
Sima Ladjevardian,Democrat,Texas,2,No,No,42.8,3832697,3825287
Elliott Scheirman,Libertarian,Texas,2,No,No,1.6,15374,14296
Van Taylor,Republican,Texas,3,Yes,Yes,55.1,2655327,2825378
Helane Seikaly,Democrat,Texas,3,No,No,42.9,1635185,1634843
Patrick Fallon,Republican,Texas,4,No,Yes,75.1,257174,95065
Tracy Shawn Jones,Independent,Texas,4,No,No,0.4,13002,10595
Lance Gooden,Republican,Texas,5,Yes,Yes,62.0,1610327,1311983
Carolyn Salter,Democrat,Texas,5,No,No,35.9,317848,289112
Kevin Hale,Libertarian,Texas,5,No,No,2.1,18405,6508
Ron Wright,Republican,Texas,6,Yes,Yes,52.8,912134,907693
Stephen Daniel,Democrat,Texas,6,No,No,44.0,680402,677568
Lizzie Fletcher,Democrat,Texas,7,Yes,Yes,50.8,6265165,6246136
Wesley Hunt,Republican,Texas,7,No,No,47.5,7524064,7300122
Kevin Brady,Republican,Texas,8,Yes,Yes,72.5,3570477,3190447
Elizabeth Hernandez,Democrat,Texas,8,No,No,25.5,17227,14981
Al Green,Democrat,Texas,9,Yes,Yes,75.5,460332,486155
Johnny Teague,Republican,Texas,9,No,No,21.6,89965,88366
Michael McCaul,Republican,Texas,10,Yes,Yes,52.5,3856477,3910930
Mike Siegel,Democrat,Texas,10,No,No,45.4,2873926,2829765
August Pfluger,Republican,Texas,11,No,Yes,79.7,2578540,1984134
Jon Mark Hogg,Democrat,Texas,11,No,No,18.3,137730,135141
Kay Granger,Republican,Texas,12,Yes,Yes,63.7,3161288,3271815
Lisa Welch,Democrat,Texas,12,No,No,33.0,98465,98475
Trey Holcomb,Libertarian,Texas,12,No,No,3.3,967,457
Ronny Jackson,Republican,Texas,13,No,Yes,79.4,2128271,1741132
Gus Trujillo,Democrat,Texas,13,No,No,18.5,22826,18820
Randy Weber,Republican,Texas,14,Yes,Yes,61.6,936202,924659
Adrienne Bell,Democrat,Texas,14,No,No,38.4,244754,240934
Cyrus Sajna,Independent,Texas,14,No,No,,35096,34942
