Candidate_Name,Candidate_Party,State,District,Is_Incumbent?,Is_Winner,Percent_of_Vote_(%),Money_Raised_($),Money_Spent_($)
Johnny Nalbandian,Republican,California,27,No,No,30.2,39584,39159
Adam Schiff,Democrat,California,28,Yes,Yes,72.7,19382855,10188664
Eric Early,Republican,California,28,No,No,27.3,4085322,3790027
Tony Cardenas,Democrat,California,29,Yes,Yes,56.6,1419697,1213588
Angelica Duenas,3rd Party,California,29,No,No,43.4,78083,76627
Brad Sherman,Democrat,California,30,Yes,Yes,69.5,1513374,1111826
Pete Aguilar,Democrat,California,31,Yes,Yes,61.3,2475748,1861434
Agnes Gibboney,Republican,California,31,No,No,38.7,138687,127907
Grace Napolitano,Democrat,California,32,Yes,Yes,66.6,478426,251047
Joshua Scott,Republican,California,32,No,No,33.4,23624,14248
Ted Lieu,Democrat,California,33,Yes,Yes,67.6,1661436,1582573
James Bradley,Republican,California,33,No,No,32.4,78910,79035
Jimmy Gomez,Democrat,California,34,Yes,Yes,53.0,1401166,1268312
David Kim,Democrat,California,34,No,No,47.0,193430,80381
Norma Torres,Democrat,California,35,Yes,Yes,69.3,654727,664600
Mike Cargile,Republican,California,35,No,No,30.7,36113,35915
Raul Ruiz,Democrat,California,36,Yes,Yes,60.3,2402624,1732443
Erin Cruz,Republican,California,36,No,No,39.7,54217,53840
Karen Bass,Democrat,California,37,Yes,Yes,85.9,2216467,1202942
Errol Webber,Republican,California,37,No,No,14.1,66398,174076
Linda Sanchez,Democrat,California,38,Yes,Yes,74.3,1246008,1140165
Gil Cisneros,Democrat,California,39,Yes,No,49.4,4370133,4350464
Young Kim,Republican,California,39,No,Yes,50.6,6424556,6021651
Lucille Roybal-Allard,Democrat,California,40,Yes,Yes,72.7,739790,741379
Antonio Delgado,Republican,California,40,No,No,27.3,85014,79270
Mark Takano,Democrat,California,41,Yes,Yes,64.0,1020456,949494
Aja Smith,Republican,California,41,No,No,36.0,660658,659909
Ken Calvert,Republican,California,42,Yes,Yes,57.1,1441812,1549113
Liam O'Mara,Democrat,California,42,No,No,42.9,130065,128782
Maxine Waters,Democrat,California,43,Yes,Yes,71.7,1836660,1906957
Joe Collins,Republican,California,43,No,No,28.3,10556626,9921103
Nanette Barragan,Democrat,California,44,Yes,Yes,67.8,1173909,714023
Katie Porter,Democrat,California,45,Yes,Yes,53.5,16627706,6443700
Greg Raths,Republican,California,45,No,No,46.5,1245767,1241713
Lou Correa,Democrat,California,46,Yes,Yes,68.8,1192715,650707
Alan Lowenthal,Democrat,California,47,Yes,Yes,63.3,678648,854902
John Briscoe,Republican,California,47,No,No,36.7,25302,21538
Harley Rouda,Democrat,California,48,Yes,No,48.9,5968858,6174443
Michelle Steel,Republican,California,48,No,Yes,51.1,6305665,6148591
Mike Levin,Democrat,California,49,Yes,Yes,53.1,3845768,2901566
Brian Maryott,Republican,California,49,No,No,46.9,2810253,2808217
Darrell Issa,Republican,California,50,No,Yes,54.0,11239670,10947106
Ammar Campa-Najjar,Democrat,California,50,No,No,46.0,6248210,6247762
Juan Vargas,Democrat,California,51,Yes,Yes,68.3,799734,801671
Juan Hidalgo,Republican,California,51,No,No,31.7,83730,81182
Scott Peters,Democrat,California,52,Yes,Yes,61.6,1911791,2131849
James Debello,Republican,California,52,No,No,38.4,233464,224630
Diana DeGette,Democrat,Colorado,1,Yes,Yes,73.7,1201026,1077130
Joseph Neguse,Democrat,Colorado,2,Yes,Yes,61.5,1353325,674602
Charles Winn,Republican,Colorado,2,No,No,35.4,98338,98338
Alex Johnson,Independent,Colorado,2,No,No,,4782,4093
Diane Mitsch Bush,Democrat,Colorado,3,No,No,45.2,5008274,4984238
Lauren Boebert,Republican,Colorado,3,No,Yes,51.4,2989510,2632716
Chris Milton,3rd Party,Colorado,3,No,No,1.0,12012,12012
Ken Buck,Republican,Colorado,4,Yes,Yes,60.1,478984,539393
Ike McCorkle,Democrat,Colorado,4,No,No,36.1,369871,217398
Doug Lamborn,Republican,Colorado,5,Yes,Yes,57.6,540712,329011
Jillian Freeland,Democrat,Colorado,5,No,No,37.4,185255,175548
Rebecca Keltie,3rd Party,Colorado,5,No,No,0.8,2552,1495
Jason Crow,Democrat,Colorado,6,Yes,Yes,57.1,4136137,2892443
Steven House,Republican,Colorado,6,No,No,40.0,1200056,1198044
Jaimie Kulikowski,3rd Party,Colorado,6,No,No,0.9,72293,110645
Ed Perlmutter,Democrat,Colorado,7,Yes,Yes,59.1,1632262,1339482
Casper Stockham,Republican,Colorado,7,No,No,37.6,147872,147872
Anthony Malgieri,Independent,Colorado,7,No,No,,1930,1958
Yadira Caraveo,Democrat,Colorado,8,Yes,Yes,,783466,175581
John Larson,Democrat,Connecticut,1,Yes,Yes,63.7,1377238,1323690
Mary Fay,Republican,Connecticut,1,No,No,35.0,26836,25118
Joe Courtney,Democrat,Connecticut,2,Yes,Yes,59.4,964731,999360
Justin Anderson,Republican,Connecticut,2,No,No,38.2,80227,78767
Rosa DeLauro,Democrat,Connecticut,3,Yes,Yes,58.7,1938999,1795635
Margaret Streicker,Republican,Connecticut,3,No,No,39.8,1839080,1835385
Justin Paglino,3rd Party,Connecticut,3,No,No,1.5,29200,28670
Jim Himes,Democrat,Connecticut,4,Yes,Yes,62.3,1612935,2180029
Jonathan Riddle,Republican,Connecticut,4,No,No,36.2,31591,17385
Jahana Hayes,Democrat,Connecticut,5,Yes,Yes,55.1,2037826,1564685
David Sullivan,Republican,Connecticut,5,No,No,43.5,397395,397370
Lisa Blunt Rochester,Democrat,Delaware,1,Yes,Yes,57.6,2024201,1305618
Lee Murphy,Republican,Delaware,1,No,No,40.2,131394,131862
Catherine Purcell,Independent,Delaware,1,No,No,1.4,5344,5103
Matt Gaetz,Republican,Florida,1,Yes,Yes,64.6,5946646,4482782
Phil Ehr,Democrat,Florida,1,No,No,34.0,2025099,1900451
Bert Oram,Independent,Florida,1,No,No,1.4,8108,7070
Neal Dunn,Republican,Florida,2,Yes,Yes,98.0,653488,637580
Kristy Thripp,Independent,Florida,2,No,No,,145,145
Kat Cammack,Republican,Florida,3,No,Yes,57.1,1122188,1090334
Adam Christensen,Democrat,Florida,3,No,No,42.9,216021,219108
John Rutherford,Republican,Florida,4,Yes,Yes,61.1,1024912,1283701
Donna Deegan,Democrat,Florida,4,No,No,38.9,1013157,1013157
Al Lawson,Democrat,Florida,5,Yes,Yes,65.1,848498,695779
Gary Adler,Republican,Florida,5,No,No,34.9,146909,146909
Michael Waltz,Republican,Florida,6,Yes,Yes,60.6,2549667,1716768
Clint Curtis,Democrat,Florida,6,No,No,39.4,24310,22251
Gerry Nolan,Independent,Florida,6,No,No,,4467,5256
Stephanie Murphy,Democrat,Florida,7,Yes,Yes,55.3,3124692,1798549
Leo Valentin,Republican,Florida,7,No,No,43.2,1045426,1031316
Bill Garlington,Independent,Florida,7,No,No,1.4,11000,0
Bill Posey,Republican,Florida,8,Yes,Yes,61.4,985268,1121834
James Kennedy,Democrat,Florida,8,No,No,38.6,138568,138790
Darren Soto,Democrat,Florida,9,Yes,Yes,56.0,1111750,945868
William Olson,Republican,Florida,9,No,No,44.0,404406,401088
Val Demings,Democrat,Florida,10,Yes,Yes,63.6,1876047,1191020
Vennia Francois,Republican,Florida,10,No,No,36.4,335480,332852
Kristofer Steven Lawson,Independent,Florida,10,No,No,,47,47
Daniel Webster,Republican,Florida,11,Yes,Yes,66.7,691261,586965
Dana Cottrell,Democrat,Florida,11,No,No,33.3,62658,62380
Gus Bilirakis,Republican,Florida,12,Yes,Yes,62.9,1604137,1548634
Kim Walker,Democrat,Florida,12,No,No,37.1,42802,33544
Charlie Crist,Democrat,Florida,13,Yes,Yes,53.0,2720646,3980695
Anna Paulina Luna,Republican,Florida,13,No,No,47.0,3302944,3262236
Kathy Castor,Democrat,Florida,14,Yes,Yes,60.3,884651,1201653
Christine Quinn,Republican,Florida,14,No,No,39.7,242144,241187
Alan Cohn,Democrat,Florida,15,No,No,44.6,2333053,2300197
Scott Franklin,Republican,Florida,15,No,Yes,55.4,1663898,1638417
Vernon Buchanan,Republican,Florida,16,Yes,Yes,55.5,3094611,3100766
Margaret Good,Democrat,Florida,16,No,No,44.5,3411924,3407845
Greg Steube,Republican,Florida,17,Yes,Yes,64.6,759908,621200
Allen Ellison,Democrat,Florida,17,No,No,34.1,83481,78243
Brian Mast,Republican,Florida,18,Yes,Yes,56.4,6128177,5301307
Pam Keith,Democrat,Florida,18,No,No,41.5,1639873,1632736
Byron Donalds,Republican,Florida,19,No,Yes,61.3,3219579,2738685
Cindy Banyai,Democrat,Florida,19,No,No,38.7,214750,203430
Alcee Hastings,Democrat,Florida,20,Yes,Yes,78.7,607649,543316
Greg Musselwhite,Republican,Florida,20,No,No,21.3,28955,27538
Lois Frankel,Democrat,Florida,21,Yes,Yes,59.0,1534882,1309786
Laura Loomer,Republican,Florida,21,No,No,39.1,2271604,2240689
Charleston Malkemus,Independent,Florida,21,No,No,1.9,28928,28636
Ted Deutch,Democrat,Florida,22,Yes,Yes,58.6,1364438,1265494
Jim Pruden,Republican,Florida,22,No,No,41.4,278416,278416
Debbie Wasserman Schultz,Democrat,Florida,23,Yes,Yes,58.2,2191922,1979903
Carla Spalding,Republican,Florida,23,No,No,41.8,919579,903561
Frederica Wilson,Democrat,Florida,24,Yes,Yes,75.6,412592,321019
Lavern Spicer,Republican,Florida,24,No,No,20.4,34973,34909
Christine Olivo,Independent,Florida,24,No,No,4.0,31646,32898
Mario Diaz-Balart,Republican,Florida,25,Yes,Yes,100.0,1590134,804054
Debbie Mucarsel-Powell,Democrat,Florida,26,Yes,No,48.3,6793521,6822740
Carlos Gimenez,Republican,Florida,26,No,Yes,51.7,2226559,2187389
Donna Shalala,Democrat,Florida,27,Yes,No,48.6,3842907,3735966
Maria Salazar,Republican,Florida,27,No,Yes,51.4,3654190,3645814
Frank Polo,Independent,Florida,27,No,No,,4606,4662
Carlos Gimenez,Republican,Florida,28,Yes,Yes,,442015,271601
Buddy Carter,Republican,Georgia,1,Yes,Yes,58.4,2315487,1734754
Joyce Griggs,Democrat,Georgia,1,No,No,41.7,130043,125000
Sanford Bishop,Democrat,Georgia,2,Yes,Yes,59.1,1540683,1440571
Don Cole,Republican,Georgia,2,No,No,40.9,164274,162522
Drew Ferguson,Republican,Georgia,3,Yes,Yes,65.0,2374212,2150911
Val Almonord,Democrat,Georgia,3,No,No,35.0,35762,31946
Hank Johnson,Democrat,Georgia,4,Yes,Yes,80.1,628303,490360
Johsira C. Cruz,Republican,Georgia,4,No,No,19.9,12954,23146
Nikema Williams,Democrat,Georgia,5,No,Yes,85.2,553964,362801
Robert Franklin,Democrat,Georgia,5,No,No,,360473,358394
Angela Stanton-King,Republican,Georgia,5,No,No,14.9,305279,301338
Kwanza Hall,Democrat,Georgia,5,No,No,,239597,227091
Barrington Martin II,Democrat,Georgia,5,No,No,,16522,16517
Chase Oliver,Libertarian,Georgia,5,No,No,,9225,5220
Steven Muhammad,Independent,Georgia,5,No,No,,3497,-4965
Keisha Waites,Democrat,Georgia,5,No,No,,875,0
Lucy McBath,Democrat,Georgia,6,Yes,Yes,54.6,8507298,8586054
Karen Handel,Republican,Georgia,6,No,No,45.4,3026243,3072932
Carolyn Bourdeaux,Democrat,Georgia,7,No,Yes,54.4,5133244,5161230
Richard McCormick,Republican,Georgia,7,No,No,48.6,2595446,2563724
Austin Scott,Republican,Georgia,8,Yes,Yes,64.5,821745,716159
Jimmy Cooper,3rd Party,Georgia,8,No,No,,8542,8528
Lindsay Holliday,Democrat,Georgia,8,No,No,35.5,7480,5220
Andrew Clyde,Republican,Georgia,9,No,Yes,78.6,1569425,1561316
Devin Pandy,Democrat,Georgia,9,No,No,21.4,84272,84623
Jody Hice,Republican,Georgia,10,Yes,Yes,62.3,595947,457648
Tabitha Johnson-Green,Democrat,Georgia,10,No,No,37.7,14808,12214
Barry Loudermilk,Republican,Georgia,11,Yes,Yes,60.4,877767,700851
Dana Barrett,Democrat,Georgia,11,No,No,39.6,404625,394977
Richard W Allen,Republican,Georgia,12,Yes,Yes,58.4,1228970,662818
Liz Johnson,Democrat,Georgia,12,No,No,41.6,72061,72061
David Scott,Democrat,Georgia,13,Yes,Yes,77.4,1209614,1131746
Becky Hites,Republican,Georgia,13,No,No,22.6,63509,62935
Martin Cowen,Libertarian,Georgia,13,No,No,,13460,13464
Marjorie Taylor Greene,Republican,Georgia,14,No,Yes,74.8,2596914,2237599
Ed Case,Democrat,Hawaii,1,Yes,Yes,64.7,508249,472569
Ron Curtis,Republican,Hawaii,1,No,No,25.1,12538,12647
Kai Kahele,Democrat,Hawaii,2,No,Yes,57.9,1235523,1039637
Joe Akana,Republican,Hawaii,2,No,No,28.3,54534,55344
Jonathan Hoomanawanui,3rd Party,Hawaii,2,No,No,2.2,1883,1522
Russ Fulcher,Republican,Idaho,1,Yes,Yes,67.8,575485,508457
Rudy Soto,Democrat,Idaho,1,No,No,28.7,302902,302902
Mike Simpson,Republican,Idaho,2,Yes,Yes,64.1,1008847,1099604
Aaron Swisher,Democrat,Idaho,2,No,No,31.7,70674,70268
Bobby Rush,Democrat,Illinois,1,Yes,Yes,73.8,541435,496454
Philanise White,Republican,Illinois,1,No,No,26.2,6289,5048
Robin Kelly,Democrat,Illinois,2,Yes,Yes,78.8,1634783,1108137
Marie Newman,Democrat,Illinois,3,No,Yes,56.4,2802093,2699323
Mike Fricilone,Republican,Illinois,3,No,No,43.6,128458,127980
Jesus Garcia,Democrat,Illinois,4,Yes,Yes,16.0,822846,711159
Jesus Solorio Jr,Republican,Illinois,4,No,No,84.0,2065,843
Mike Quigley,Democrat,Illinois,5,Yes,Yes,70.8,1171507,926655
Sean Casten,Democrat,Illinois,6,Yes,Yes,52.8,5582179,5313570
Jeanne Ives,Republican,Illinois,6,No,No,45.4,3157771,3135464
Bill Redpath,Libertarian,Illinois,6,No,No,1.7,9837,9837
Danny K Davis,Democrat,Illinois,7,Yes,Yes,80.4,544690,505506
Tracy Jennings,3rd Party,Illinois,7,No,No,6.2,65283,65283
Raja Krishnamoorthi,Democrat,Illinois,8,Yes,Yes,73.2,6358878,2207703
Jan Schakowsky,Democrat,Illinois,9,Yes,Yes,71.0,1834801,1514838
Sargis Sangari,Republican,Illinois,9,No,No,29.0,35364,34715
Brad Schneider,Democrat,Illinois,10,Yes,Yes,63.8,3459512,2873333
Valerie Ramirez Mukherjee,Republican,Illinois,10,No,No,36.2,130225,64764
Bill Foster,Democrat,Illinois,11,Yes,Yes,63.3,2381354,1823906
Rick Laib,Republican,Illinois,11,No,No,36.7,20343,20064
Mike Bost,Republican,Illinois,12,Yes,Yes,60.6,1918041,1509573
Ray Lenzi,Democrat,Illinois,12,No,No,39.4,161324,104809
Rodney Davis,Republican,Illinois,13,Yes,Yes,54.4,4943459,4822600
Betsy Dirksen Londrigan,Democrat,Illinois,13,No,No,45.6,5297007,5281880
Lauren A Underwood,Democrat,Illinois,14,Yes,Yes,50.7,7803579,7301503
Jim Oberweis,Republican,Illinois,14,No,No,49.3,2438857,2348798
Mary Miller,Republican,Illinois,15,No,Yes,73.5,689057,570356
Erika Weaver,Democrat,Illinois,15,No,No,26.5,58689,23349
Adam Kinzinger,Republican,Illinois,16,Yes,Yes,64.8,2105736,1588550
Dani Brzozowski,Democrat,Illinois,16,No,No,35.2,459344,376167
Cheri Bustos,Democrat,Illinois,17,Yes,Yes,52.0,4975192,6391009
Esther Joy King,Republican,Illinois,17,No,No,48.0,2032878,2030587
Frank Mrvan Jr,Democrat,Indiana,1,No,Yes,56.6,578635,464407
Mark Leyva,Republican,Indiana,1,No,No,40.4,16551,15343
Jackie Walorski,Republican,Indiana,2,Yes,Yes,61.5,2383467,1698202
Pat Hackett,Democrat,Indiana,2,No,No,38.5,881888,867301
Jim Banks,Republican,Indiana,3,Yes,Yes,67.8,1202509,769591
Chip Coldiron,Democrat,Indiana,3,No,No,32.2,94056,89883
Jim Baird,Republican,Indiana,4,Yes,Yes,66.6,327727,190158
Joe Mackey,Democrat,Indiana,4,No,No,33.4,44585,43213
Christina Hale,Democrat,Indiana,5,No,No,45.9,4010368,3998905
Victoria Spartz,Republican,Indiana,5,No,Yes,50.0,3119328,3010203
Greg Pence,Republican,Indiana,6,Yes,Yes,68.7,3114448,2804148
Jeannine Lee Lake,Democrat,Indiana,6,No,No,27.7,143089,145315
Andre Carson,Democrat,Indiana,7,Yes,Yes,62.4,1011635,873962
Susan Marie Smith,Republican,Indiana,7,No,No,37.6,62905,59843
Larry Bucshon,Republican,Indiana,8,Yes,Yes,66.9,1051336,1078646
Thomasina Marsili,Democrat,Indiana,8,No,No,29.8,68734,68480
Trey Hollingsworth,Republican,Indiana,9,Yes,Yes,60.9,1166754,501136
Andy Ruff,Democrat,Indiana,9,No,No,34.8,148263,134906
Tonya Millis,Libertarian,Indiana,9,No,No,4.3,10224,10041
Abby Finkenauer,Democrat,Iowa,1,Yes,No,48.7,5901441,5875405
Ashley Hinson,Republican,Iowa,1,No,Yes,51.3,5175883,5059211
Rita Hart,Democrat,Iowa,2,No,No,50.0,4232992,4114400
Mariannette Miller-Meeks,Republican,Iowa,2,No,Yes,50.0,2174194,1721926
Cindy Axne,Democrat,Iowa,3,Yes,Yes,49.0,6236976,6236994
David Young,Republican,Iowa,3,No,No,47.6,3170072,3094582
J.D. Scholten,Democrat,Iowa,4,No,No,62.1,2885915,2902003
Randy Feenstra,Republican,Iowa,4,No,Yes,37.9,1906234,1894288
Tracey Mann,Republican,Kansas,1,No,Yes,71.4,1403353,1127156
Kali Barnett,Democrat,Kansas,1,No,No,28.6,603036,592924
Michelle De La Isla,Democrat,Kansas,2,No,No,40.5,1825085,1810968
Jake Laturner,Republican,Kansas,2,No,Yes,55.3,1593407,1578460
Sharice Davids,Democrat,Kansas,3,Yes,Yes,53.4,5638552,5168034
Amanda Adkins,Republican,Kansas,3,No,No,43.8,2182382,2139673
Ron Estes,Republican,Kansas,4,Yes,Yes,64.0,1993808,1420188
Laura Lombard,Democrat,Kansas,4,No,No,36.0,264459,258684
James Comer,Republican,Kentucky,1,Yes,Yes,75.0,736116,502554
Brett Guthrie,Republican,Kentucky,2,Yes,Yes,71.0,1412797,1566622
Hank Linderman,Democrat,Kentucky,2,No,No,26.3,93388,71122
Robert Lee Perry,Libertarian,Kentucky,2,No,No,2.1,12798,7825
John Yarmuth,Democrat,Kentucky,3,Yes,Yes,62.7,658295,690226
Rhonda Palazzo,Republican,Kentucky,3,No,No,37.3,46144,45668
Thomas Massie,Republican,Kentucky,4,Yes,Yes,67.1,1457316,1563275
Alexandra Owensby,Democrat,Kentucky,4,No,No,32.9,156174,106359
Hal Rogers,Republican,Kentucky,5,Yes,Yes,84.2,664168,835781
Andy Barr,Republican,Kentucky,6,Yes,Yes,57.3,4536264,4316239
Josh Hicks,Democrat,Kentucky,6,No,No,41.0,2936320,2935615
Steve Scalise,Republican,Louisiana,1,Yes,Yes,72.2,37262827,32830607
Cedric Richmond,Democrat,Louisiana,2,Yes,Yes,63.6,1628289,1302079
Clay Higgins,Republican,Louisiana,3,Yes,Yes,67.8,751498,720424
Robert Jon Anderson,Democrat,Louisiana,3,No,No,11.6,63617,48015
Braylon Harris,Democrat,Louisiana,3,No,No,17.9,23006,15130
Mike Johnson,Republican,Louisiana,4,Yes,Yes,60.4,1299787,1039393
Kenny Houston,Democrat,Louisiana,4,No,No,25.5,33677,33407
Luke Letlow,Republican,Louisiana,5,No,No,,1392822,1303757
Lance Harris,Republican,Louisiana,5,No,No,,696805,687833
Martin Lemelle,Democrat,Louisiana,5,No,No,,173796,162747
Scotty Robinson,Republican,Louisiana,5,No,No,,113903,113835
Candy Christophe,Democrat,Louisiana,5,No,No,,77101,131161
Phillip Snowden,Democrat,Louisiana,5,No,No,,29481,28077
Matthew Hasty,Republican,Louisiana,5,No,No,,2654,2615
Garret Graves,Republican,Louisiana,6,Yes,Yes,71.1,1743015,1200287
Dartanyon Williams,Democrat,Louisiana,6,No,No,25.6,111316,98114
Chellie Pingree,Democrat,Maine,1,Yes,Yes,61.5,487080,264790
Jay Allen,Republican,Maine,1,No,No,38.5,79585,69853
Jared Golden,Democrat,Maine,2,Yes,Yes,52.9,5272142,5233990
Dale Crafts,Republican,Maine,2,No,No,47.1,1199805,1196117
Andy Harris,Republican,Maryland,1,Yes,Yes,63.5,1468096,973953
Mia Mason,Democrat,Maryland,1,No,No,36.3,2524,0
Dutch Ruppersberger,Democrat,Maryland,2,Yes,Yes,67.2,1012835,927353
Johnny Ray Salling,Republican,Maryland,2,No,No,32.6,68320,66895
John Sarbanes,Democrat,Maryland,3,Yes,Yes,69.5,573599,687299
Charles Anthony,Republican,Maryland,3,No,No,30.3,7798,6742
Anthony Brown,Democrat,Maryland,4,Yes,Yes,79.3,1446636,846827
Steny H Hoyer,Democrat,Maryland,5,Yes,Yes,68.5,4587189,4342255
Chris Palombi,Republican,Maryland,5,No,No,31.2,43462,42095
David Trone,Democrat,Maryland,6,Yes,Yes,57.9,2944893,2959748
Neil Parrott,Republican,Maryland,6,No,No,40.2,315936,261259
